Lever,Setting,Scenario,FAR,FRR,EER,Accuracy,Features_Used,Hidden_Layers_1,Hidden_Layers_2,Split_Ratio,Overlap
PerUser-RankAvg,"Top-30",Cross-Day,0.0164183125816152,0.146187382241861,0.0446832906370476,0.849295774647887,30,128,64,0.7,0
PerUser-RankAvg,"Top-35",Cross-Day,0.0162029565917802,0.144237349713156,0.0498495656508126,0.856338028169014,35,128,64,0.7,0
PerUser-RankAvg,"Top-40",Cross-Day,0.0151211698192443,0.134507746338057,0.045206340834197,0.866197183098592,40,128,64,0.7,0
PerUser-RankAvg,"Top-51",Cross-Day,0.0168522477038236,0.150089137102157,0.0614142451118998,0.852112676056338,51,128,64,0.7,0
PerUser-RankAvg,"Top-52",Cross-Day,0.0114446281322765,0.101416618084833,0.0390034399958498,0.904225352112676,52,128,64,0.7,0
PerUser-RankAvg,"Top-53",Cross-Day,0.00945200631235246,0.0834793604659349,0.0371956044179846,0.91830985915493,53,128,64,0.7,0
PerUser-RankAvg,"Top-54",Cross-Day,0.0127244973540502,0.112938257418939,0.0433670540758447,0.887323943661972,54,128,64,0.7,0
PerUser-RankAvg,"Top-58",Cross-Day,0.0125476939040985,0.111349842707515,0.050685253860159,0.894366197183099,58,128,64,0.7,0
PerUser-RankAvg,"Top-59",Cross-Day,0.0125739797267462,0.111578810998363,0.0418675941205332,0.892957746478873,59,128,64,0.7,0
PerUser-RankAvg,"Top-60",Cross-Day,0.0125531701171503,0.111390116342929,0.0477719029128968,0.895774647887324,60,128,64,0.7,0
PerUser-RankAvg,"Top-62",Cross-Day,0.0114371804825262,0.101348181068011,0.036583971610939,0.901408450704225,62,128,64,0.7,0
PerUser-RankAvg,"Top-65",Cross-Day,0.00925066942792966,0.0816709897457127,0.0342545192232555,0.926760563380282,65,128,64,0.7,0
Architecture,"[64]",Cross-Day,0.0139267295210755,0.123761444894119,0.0527514657107736,0.87887323943662,112,64,,0.7,0
Architecture,"[128]",Cross-Day,0.0118896721438185,0.105418916216756,0.0420283229399545,0.897183098591549,112,128,,0.7,0
Architecture,"[128,64]",Cross-Day,0.0134725480568987,0.11967381171653,0.038981451802095,0.880281690140845,112,128,64,0.7,0
Architecture,"[128,128]",Cross-Day,0.0138029358134631,0.122644203553654,0.0463010898889632,0.877464788732394,112,128,128,0.7,0
Architecture,"[160,80]",Cross-Day,0.0164920380556126,0.14684471556393,0.0570446308871784,0.857746478873239,112,160,80,0.7,0
Train/Test Ratio,"70/30",Combined,0.00917376005869324,0.0807835775037674,0.0305044208684584,0.92018779342723,112,128,64,0.7,0
Train/Test Ratio,"80/20",Combined,0.0100145461103858,0.088663129443077,0.0372600254233437,0.911660777385159,112,128,64,0.8,0
